Dataset,Dataset_Path,Original_Size,Compressed_Size,Compression_Ratio
book1,./Datasets/Calgary_Corpus/book1,768771,785072,-0.021203973615029792
book2,./Datasets/Calgary_Corpus/book2,610856,622783,-0.01952505991592135
news,./Datasets/Calgary_Corpus/news,377109,376305,0.002132009578132532
paper1,./Datasets/Calgary_Corpus/paper1,53161,53934,-0.01454073474915818
paper2,./Datasets/Calgary_Corpus/paper2,82199,83661,-0.017786104453825446
paper3,./Datasets/Calgary_Corpus/paper3,46526,47303,-0.016700339595065117
paper4,./Datasets/Calgary_Corpus/paper4,13286,13554,-0.02017160921270511
paper5,./Datasets/Calgary_Corpus/paper5,11954,12227,-0.022837543918353687
paper6,./Datasets/Calgary_Corpus/paper6,38105,38893,-0.02067970082666326
progc,./Datasets/Calgary_Corpus/progc,39611,40099,-0.01231981015374517
progl,./Datasets/Calgary_Corpus/progl,71646,69231,0.03370739469056194
progp,./Datasets/Calgary_Corpus/progp,49379,46109,0.06622248324186397
alice29.txt,./Datasets/Canterbury_Corpus/alice29.txt,152089,154234,-0.014103584085634058
asyoulik.txt,./Datasets/Canterbury_Corpus/asyoulik.txt,125179,128215,-0.024253269318336157
fields.c,./Datasets/Canterbury_Corpus/fields.c,11150,11333,-0.016412556053811755
grammar.lsp,./Datasets/Canterbury_Corpus/grammar.lsp,3721,3789,-0.01827465735017464
lcet10.txt,./Datasets/Canterbury_Corpus/lcet10.txt,426754,422059,0.011001654348875456
plrabn12.txt,./Datasets/Canterbury_Corpus/plrabn12.txt,481861,490033,-0.016959247583846704
xargs.1,./Datasets/Canterbury_Corpus/xargs.1,4227,4307,-0.018925952211970687
bible.txt,./Datasets/Large_text_files/bible.txt,4047392,4108598,-0.015122330626734515
E.coli,./Datasets/Large_text_files/E.coli,4638690,5229720,-0.12741312741312738
world192.txt,./Datasets/Large_text_files/world192.txt,2473400,2460555,0.0051932562464623855
hi,./Datasets/protein_corpus/hi,509519,536429,-0.05281451722114383
hs,./Datasets/protein_corpus/hs,3295751,3485269,-0.05750373738792769
sc,./Datasets/protein_corpus/sc,2900352,3066155,-0.05716650944437096
